"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades"
"TATASTEEL","EQ","12-Oct-2015","        251.10","        255.10","        261.95","        249.80","        250.10","        250.85","        255.68","   10570075","      27025.29","     102624"
"TATASTEEL","EQ","13-Oct-2015","        250.85","        248.00","        248.65","        243.25","        244.85","        245.00","        245.30","    5821295","      14279.59","      56734"
"TATASTEEL","EQ","14-Oct-2015","        245.00","        244.00","        253.00","        243.55","        247.90","        248.35","        250.12","    6290182","      15733.04","      58940"
"TATASTEEL","EQ","15-Oct-2015","        248.35","        249.15","        257.20","        248.05","        255.65","        255.25","        252.61","    7008049","      17703.28","      63915"
"TATASTEEL","EQ","16-Oct-2015","        255.25","        255.90","        256.70","        248.40","        253.00","        252.90","        252.14","    5326586","      13430.23","      46244"
"TATASTEEL","EQ","19-Oct-2015","        252.90","        253.10","        254.10","        246.75","        247.85","        248.40","        249.18","    4478358","      11159.09","      45634"
"TATASTEEL","EQ","20-Oct-2015","        248.40","        247.05","        248.90","        240.00","        240.45","        240.80","        244.59","    5248509","      12837.16","      52723"
"TATASTEEL","EQ","21-Oct-2015","        240.80","        241.70","        246.45","        238.25","        245.00","        244.40","        243.64","    8042203","      19593.64","      72881"
"TATASTEEL","EQ","23-Oct-2015","        244.40","        247.40","        251.60","        244.15","        246.65","        246.00","        248.13","    5005801","      12420.69","      54769"
"TATASTEEL","EQ","26-Oct-2015","        246.00","        247.35","        251.55","        246.25","        250.05","        249.65","        249.14","    4188032","      10434.05","      52001"
"TATASTEEL","EQ","27-Oct-2015","        249.65","        248.85","        250.30","        244.05","        245.65","        245.95","        245.90","    3403655","       8369.56","      39961"
"TATASTEEL","EQ","28-Oct-2015","        245.95","        244.50","        248.50","        244.00","        246.95","        247.15","        246.95","    3436974","       8487.64","      40712"
"TATASTEEL","EQ","29-Oct-2015","        247.15","        246.30","        251.45","        244.70","        249.05","        247.60","        248.54","    4589032","      11405.56","      44511"
"TATASTEEL","EQ","30-Oct-2015","        247.60","        248.40","        254.80","        245.15","        245.95","        246.60","        250.00","    6173260","      15433.24","      57721"
"TATASTEEL","EQ","02-Nov-2015","        246.60","        246.50","        246.60","        236.30","        238.50","        238.90","        239.74","    4909596","      11770.12","      45760"
"TATASTEEL","EQ","03-Nov-2015","        238.90","        241.70","        243.00","        234.90","        235.15","        235.70","        238.44","    4492769","      10712.68","      49220"
"TATASTEEL","EQ","04-Nov-2015","        235.70","        239.15","        240.00","        233.85","        234.55","        235.40","        237.02","    4861348","      11522.22","      42559"
"TATASTEEL","EQ","05-Nov-2015","        235.40","        236.00","        236.00","        224.30","        224.55","        225.40","        228.88","    8801639","      20145.45","      78476"
"TATASTEEL","EQ","06-Nov-2015","        225.40","        218.90","        221.85","        215.10","        219.20","        220.25","        218.60","    9906366","      21655.41","      88102"
"TATASTEEL","EQ","09-Nov-2015","        220.25","        215.00","        224.40","        212.65","        221.05","        222.25","        220.13","    6272638","      13807.86","      62340"
"TATASTEEL","EQ","10-Nov-2015","        222.25","        220.80","        222.25","        217.15","        217.60","        218.05","        218.89","    4536410","       9929.59","      40155"
"TATASTEEL","EQ","11-Nov-2015","        218.05","        220.45","        221.75","        219.75","        220.75","        220.45","        220.54","     772162","       1702.90","      11306"
"TATASTEEL","EQ","13-Nov-2015","        220.45","        218.70","        223.60","        216.60","        222.45","        222.65","        221.58","    4426975","       9809.39","      48920"
"TATASTEEL","EQ","16-Nov-2015","        222.65","        222.85","        231.90","        220.20","        231.90","        230.60","        227.27","    6923327","      15734.47","      70756"
"TATASTEEL","EQ","17-Nov-2015","        230.60","        231.90","        235.75","        230.90","        235.50","        234.55","        233.65","    5240948","      12245.42","      50298"
"TATASTEEL","EQ","18-Nov-2015","        234.55","        234.10","        235.00","        225.20","        225.70","        225.85","        229.99","    5283608","      12151.94","      48355"
"TATASTEEL","EQ","19-Nov-2015","        225.85","        227.50","        229.70","        225.60","        228.75","        228.75","        227.95","    3661120","       8345.53","      37684"
"TATASTEEL","EQ","20-Nov-2015","        228.75","        228.10","        232.75","        228.10","        229.80","        230.00","        230.51","    3859405","       8896.50","      35394"
"TATASTEEL","EQ","23-Nov-2015","        230.00","        230.85","        230.85","        223.10","        224.70","        224.45","        225.61","    4102378","       9255.36","      37868"
"TATASTEEL","EQ","24-Nov-2015","        224.45","        223.35","        226.40","        222.50","        224.30","        224.35","        224.50","    4179013","       9381.97","      38590"
"TATASTEEL","EQ","26-Nov-2015","        224.35","        225.50","        230.00","        224.20","        227.65","        227.90","        227.67","    4588073","      10445.54","      41385"
"TATASTEEL","EQ","27-Nov-2015","        227.90","        227.90","        235.00","        227.55","        231.20","        231.25","        232.17","    5393087","      12521.28","      46785"
"TATASTEEL","EQ","30-Nov-2015","        231.25","        232.40","        234.40","        228.80","        229.00","        229.60","        230.93","    4556796","      10522.81","      53353"
"TATASTEEL","EQ","01-Dec-2015","        229.60","        230.80","        238.50","        230.30","        238.35","        237.55","        236.48","    6586598","      15575.79","      64331"
"TATASTEEL","EQ","02-Dec-2015","        237.55","        239.95","        245.90","        238.10","        243.40","        243.85","        242.56","    8858386","      21486.75","      71507"
"TATASTEEL","EQ","03-Dec-2015","        243.85","        240.15","        243.50","        236.80","        239.90","        240.15","        239.83","    7107867","      17046.74","      55629"
"TATASTEEL","EQ","04-Dec-2015","        240.15","        238.05","        244.25","        237.10","        240.50","        240.25","        241.37","    5538118","      13367.25","      51246"
"TATASTEEL","EQ","07-Dec-2015","        240.25","        244.80","        247.50","        242.45","        243.05","        243.55","        244.28","    4936426","      12058.60","      44568"
"TATASTEEL","EQ","08-Dec-2015","        243.55","        242.05","        243.05","        233.50","        233.95","        234.75","        238.26","    4545921","      10831.18","      41855"
"TATASTEEL","EQ","09-Dec-2015","        234.75","        234.00","        235.85","        224.90","        227.30","        226.85","        229.45","    4727674","      10847.51","      40404"
"TATASTEEL","EQ","10-Dec-2015","        226.85","        227.25","        234.75","        226.50","        233.90","        233.00","        229.87","    4804837","      11044.91","      43389"
"TATASTEEL","EQ","11-Dec-2015","        233.00","        235.10","        243.90","        235.10","        241.30","        240.90","        240.67","   11922435","      28693.71","      89850"
